benchmark,label,regime,loss,full_mu_on,full_mu_off,full_decision,full_p_on,full_p_off,full_flow_on,full_flow_off,full_required_actual,full_region,full_gross,full_penalty,full_objective,full_access,full_wait_on,full_wait_off,full_wait_E,full_wait_initial_on,full_wait_initial_off,full_exposure,full_utility_on,full_utility_off,full_residual,full_referral_forward,full_referral_reverse,full_solver,full_regional_support,full_search_best,full_search_spread,transferred_mu_on,transferred_mu_off,transferred_decision,transferred_p_on,transferred_p_off,transferred_flow_on,transferred_flow_off,transferred_required_actual,transferred_region,transferred_gross,transferred_penalty,transferred_objective,transferred_access,transferred_wait_on,transferred_wait_off,transferred_wait_E,transferred_wait_initial_on,transferred_wait_initial_off,transferred_exposure,transferred_utility_on,transferred_utility_off,transferred_residual,transferred_referral_forward,transferred_referral_reverse
Referral-omission benchmark,L572_s15_d0.1,F2,4006.365366784161,680.7453486995073,291.2546513004927,680.7453486995073,17.32821558447292,80.0,572.0,0.0,30.0,V,28726.634837073078,0.0,28726.634837073078,1.0,0.011665161065781086,0.01637876850820586,0.017545284614783968,0.017806010680955473,0.017545284614783968,0.017793017687624667,-1.8895732223356276e-07,-39.615104471762635,1.8895732223356276e-07,200.2,23.02,regional-validated,V,28726.634837073078,0.0,670.4593911133375,301.54060888666254,670.4593911133375,18.288260325963954,80.0,491.58995414223244,0.0,30.0,BV,25524.369928866592,804.1004585776756,24720.269470288917,0.8594229967521546,0.00630263533333064,0.010051855013394962,0.010682118546728027,0.01004137682468545,0.010682118546728027,0.010078230010811106,4.440892098500626e-16,-38.58812719058005,4.440892098500626e-16,172.05648394978135,20.205648394978134
Referral-omission benchmark,L572_s15_d0.1,F0,0.0,472.50000000000006,499.49999999999994,472.50000000000006,60.0,40.0,0.0,0.0,30.0,B,1380.0,5720.0,-4340.0,0.0,0.0021299254526091584,0.002129925452609159,0.0023429179978700747,0.0029499467518636843,0.0023429179978700747,0.002342917997870075,-28.222140575079866,-1.3816826411075613,0.0,0.0,3.0,regional-validated,B,-4340.0,0.0,157.0006666666667,814.9993333333333,157.0006666666667,60.0,40.0,0.0,0.0,30.0,B,1380.0,5720.0,-4340.0,0.0,0.006493478383210461,0.0012738864321753139,0.00192323427049636,0.007166610377884187,0.00192323427049636,0.0019232342704963601,-28.67762853639366,-1.2867398784974098,0.0,0.0,3.0
Referral-omission benchmark,L572_s15_d0.1,F1,4631.82492745472,680.7453486992508,291.2546513007492,680.7453486992508,30.854785632782097,39.99999999999999,572.0,0.0,30.0,V,27567.214547218,0.0,27567.214547218,1.0,0.011665161065815985,0.01637876850813706,0.017545284614718656,0.017806010680967516,0.017545284614718656,0.01779301768763285,-1.8895730757861884e-07,-0.9677614765823659,1.8895730757861884e-07,200.2,23.02,regional-validated,V,27567.214547218,0.0,708.2000001935394,263.7999998064606,708.2000001935394,31.677679873614032,40.0,481.81179334034454,0.0,30.0,BV,23837.271686359833,901.8820665965546,22935.38961976328,0.8423283100355674,0.004842033637773369,0.015345455638074703,0.01582965900185204,0.010382414288421581,0.01582965900185204,0.010701706152206841,4.440892098500626e-16,-0.8000353113010132,4.440892098500626e-16,168.63412766912057,19.863412766912056
Referral-omission benchmark,L572_s15_d0.2,F2,15097.89918634771,690.8200012330086,281.1799987669914,690.8200012330086,16.308411497065794,80.0,572.0,0.0,30.0,V,28495.250641646544,0.0,28495.250641646544,1.0,0.0137400382393297,0.01961553597854305,0.022363543626408987,0.021567278508572846,0.022363543626408987,0.021606959494511527,-1.7763568394002505e-15,-41.86486920036937,1.7763568394002505e-15,200.2,46.04,regional-validated,V,28495.250641646544,0.0,670.4593911133375,301.54060888666254,670.4593911133375,18.288260325963954,80.0,288.4848419029178,0.0,30.0,BV,16232.503036269656,2835.1515809708217,13397.351455298834,0.5043441292009053,0.002810720908092279,0.005862664244775367,0.006424808426393823,0.005059403857330117,0.006424808426393823,0.005188019513972254,1.1102230246251565e-16,-39.70553980665632,1.1102230246251565e-16,100.96969466602123,26.193938933204244
Referral-omission benchmark,L572_s15_d0.2,F0,0.0,474.00000000000006,497.99999999999994,474.00000000000006,60.0,40.0,0.0,0.0,30.0,B,1560.0,5720.0,-4160.0,0.0,0.0021367521367521365,0.002136752136752137,0.0025641025641025645,0.003034188034188034,0.0025641025641025645,0.002564102564102564,-30.331709401709404,-7.406837606837607,0.0,0.0,6.0,regional-validated,B,-4160.0,0.0,157.0006666666667,814.9993333333333,157.0006666666667,60.0,40.0,0.0,0.0,30.0,B,1560.0,5720.0,-4160.0,0.0,0.006622487317936785,0.0012738864321753139,0.0025983838957626708,0.00753192168145372,0.0025983838957626708,0.0025983838957626708,-30.818543402393455,-7.362356636527236,0.0,0.0,6.0
Referral-omission benchmark,L572_s15_d0.2,F1,31703.68923530206,690.8200012330019,281.1799987669981,690.8200012330019,29.3925236465985,40.0,572.0,0.0,30.0,V,27373.75531454374,0.0,27373.75531454374,1.0,0.013740038239330966,0.019615535978540467,0.022363543626406662,0.021567278508573297,0.022363543626406662,0.02160695949451184,-1.7763568394002505e-15,-4.481691630275513,1.7763568394002505e-15,200.2,46.04,regional-validated,V,27373.75531454374,0.0,708.2000001935394,263.7999998064606,708.2000001935394,31.677679873614032,40.0,0.0,0.0,30.0,B,1390.0660792416843,5720.0,-4329.933920758316,0.0,0.001424095698838481,0.004277159969323348,0.004561979109091044,0.0030207883870203467,0.004561979109091044,0.004561979109091045,-0.067278099512035,-2.0859985932231138,0.0,0.0,6.0
Referral-omission benchmark,L572_s15_d0.35,F2,30993.861427139644,705.5603860274382,266.4396139725618,705.5603860274382,14.481033698395978,80.0,572.0,0.0,30.0,V,27865.888160562266,0.0,27865.888160562266,1.0,0.018871347709794095,0.02759411291624498,0.034199084614672914,0.030841027324929614,0.034199084614672914,0.031008372372591242,-3.1086244689504383e-15,-45.44392959459167,3.1086244689504383e-15,200.2,80.57,regional-validated,V,27865.888160562266,0.0,670.4593911133375,301.54060888666254,670.4593911133375,18.288260325963954,80.0,0.0,0.0,30.0,B,2592.0267334226214,5720.0,-3127.9732665773786,0.0,0.0015152447460638771,0.003682690423727328,0.004213026084849685,0.002989803875761267,0.004213026084849685,0.004213026084849685,-0.6856109822848594,-42.07898069931928,0.0,0.0,10.5
Referral-omission benchmark,L572_s15_d0.35,F0,0.0,476.25,495.75,476.25,60.0,40.0,0.0,0.0,30.0,B,1830.0,5720.0,-3890.0,0.0,0.0021470746108427268,0.0021470746108427268,0.002898550724637681,0.0031615673644659155,0.002898550724637681,0.002898550724637681,-33.496178207192706,-16.444873859366613,0.0,0.0,10.5,regional-validated,B,-3890.0,0.0,157.0006666666667,814.9993333333333,157.0006666666667,60.0,40.0,0.0,0.0,30.0,B,1830.0,5720.0,-3890.0,0.0,0.00682590750440271,0.0012738864321753139,0.0036629540587162623,0.008107941424953401,0.0036629540587162623,0.0036629540587162623,-34.03305761366543,-16.481588494778038,0.0,0.0,10.5
Referral-omission benchmark,L572_s15_d0.35,F1,30984.230205630964,705.5603863754345,266.4396136245655,705.5603863754345,26.953194054743417,40.0,572.0,0.0,30.0,V,26796.845844303913,0.0,26796.845844303913,1.0,0.018871347585862945,0.027594113181221586,0.03419908483627362,0.03084102727855871,0.03419908483627362,0.03100837233957441,-1.0658141036401503e-14,-9.809185758971253,1.0658141036401503e-14,200.2,80.57,regional-validated,V,26796.845844303913,0.0,708.2000001935394,263.7999998064606,708.2000001935394,31.677679873614032,40.0,0.0,0.0,30.0,B,1532.6156386729474,5720.0,-4187.384361327053,0.0,0.0014332807793071573,0.004277159969323348,0.0047788082420808535,0.0031058636640354563,0.0047788082420808535,0.0047788082420808535,-1.73988472390246,-6.861935437160074,0.0,0.0,10.5
Referral-omission benchmark,L572_s15_d0.5,F2,29738.917229972212,716.0431177696241,255.95688223037587,716.0431177696241,13.19298593473582,80.0,557.277876403106,0.0,30.0,BV,26840.46237083061,147.22123596893994,26693.24113486167,0.9742620216837518,0.021625543211199215,0.0323523816342108,0.043165153239810405,0.03673334684513286,0.043165153239810405,0.03706190373377663,0.0,-48.242723501742475,0.0,195.0472567410871,112.52362837054355,regional-validated,BV,26693.24113486167,0.0,670.4593911133375,301.54060888666254,670.4593911133375,18.288260325963954,80.0,0.0,0.0,30.0,B,2674.3239048894593,5720.0,-3045.6760951105407,0.0,0.0015256475283715737,0.003682690423727328,0.004445514187913115,0.003081577494141164,0.004445514187913115,0.004445514187913115,-1.656023294656513,-44.84825841575698,0.0,0.0,15.0
Referral-omission benchmark,L572_s15_d0.5,F0,0.0,478.5,493.5,478.5,60.0,40.0,0.0,0.0,30.0,B,2100.0,5720.0,-3620.0,0.0,0.002157497303128371,0.002157497303128371,0.0032362459546925564,0.0032901833872707657,0.0032362459546925564,0.003236245954692556,-36.660787486515645,-25.483279395900755,0.0,0.0,15.0,regional-validated,B,-3620.0,0.0,157.0006666666667,814.9993333333333,157.0006666666667,60.0,40.0,0.0,0.0,30.0,B,2100.0,5720.0,-3620.0,0.0,0.007042220459058877,0.0012738864321753139,0.004794996661704753,0.008720469290655541,0.004794996661704753,0.004794996661704753,-37.25166073462405,-25.60837726631275,0.0,0.0,15.0
Referral-omission benchmark,L572_s15_d0.5,F1,29716.799341012782,716.0431177695536,255.95688223044635,716.0431177695536,25.107879551777717,40.0,557.2778764028478,0.0,30.0,BV,25819.185775088514,147.22123597152176,25671.96453911699,0.9742620216833003,0.021625543211090326,0.03235238163404242,0.043165153239587584,0.03673334684494598,0.043165153239587584,0.037061903733588066,8.881784197001252e-16,-14.20017031022904,8.881784197001252e-16,195.04725674099672,112.52362837049836,regional-validated,BV,25671.96453911699,0.0,708.2000001935394,263.7999998064606,708.2000001935394,31.677679873614032,40.0,0.0,0.0,30.0,B,1675.1651981042105,5720.0,-4044.8348018957895,0.0,0.0014425851121188733,0.004277159969323348,0.004998452525382785,0.003192043496002848,0.004998452525382785,0.004998452525382785,-3.412615058447548,-11.638187577932,0.0,0.0,15.0
Referral-omission benchmark,L572_s15_d0.65,F2,28490.78612188703,723.7516841708054,248.24831582919455,723.7516841708054,12.579753034695734,80.0,535.2024815833145,0.0,30.0,BV,25895.382382410182,367.97518416685534,25527.407198243327,0.9356686740967036,0.02114583439163994,0.03233373873721638,0.04607853109178234,0.03727332027376376,0.04607853109178234,0.03774068609954812,3.552713678800501e-15,-50.14832432411597,3.552713678800501e-15,187.32086855416006,141.25856456020404,regional-validated,BV,25527.407198243327,0.0,670.4593911133375,301.54060888666254,670.4593911133375,18.288260325963954,80.0,0.0,0.0,30.0,B,2756.621076356297,5720.0,-2963.378923643703,0.0,0.001536194136917969,0.003682690423727328,0.004681216612724008,0.0031746199513713715,0.004681216612724008,0.004681216612724008,-2.6265777169794013,-47.61789613623039,0.0,0.0,19.5
Referral-omission benchmark,L572_s15_d0.65,F0,0.0,480.75000000000006,491.24999999999994,480.75000000000006,60.0,40.0,0.0,0.0,30.0,B,2370.0,5720.0,-3350.0,0.0,0.0021680216802168017,0.0021680216802168026,0.0035772357723577236,0.003420054200542005,0.0035772357723577236,0.0035772357723577236,-39.82553929539296,-34.52205962059621,0.0,0.0,19.5,regional-validated,B,-3350.0,0.0,157.0006666666667,814.9993333333333,157.0006666666667,60.0,40.0,0.0,0.0,30.0,B,2370.0,5720.0,-3350.0,0.0,0.007272692011190247,0.0012738864321753139,0.006001136239448975,0.009373089694997389,0.006001136239448975,0.006001136239448975,-40.47475421991035,-34.743464899020104,0.0,0.0,19.5
