group,label,regime,demand,required,d1,d2,gamma,dE,value,premium,travel,preference,cost_on,cost_off,capacity,cap_on,cap_off,penalty,followup_fee,copay,revenue_E,elasticity,recurrent,servers,nu,mu_on,mu_off,decision,p_on,p_off,flow_on,flow_off,required_actual,region,gross,objective,access,wait_on,wait_off,wait_E,wait_initial_on,wait_initial_off,exposure,utility_on,utility_off,residual,referral_forward,referral_reverse,regional_support,regional_target_v,regional_target_f,regional_nfev,solver,search_best,search_spread,regional_candidates
elasticity,eta0,dual,878.0,30.0,0.35,0.4,-1.0,-1.0,50.0,15.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,3051.313155572218,1.0,1.0,1.0,0.0,False,0,54.0,710.5991350867232,261.4008649132768,710.5991350867232,13.633785291966518,80.0,572.8686844427782,0.0,30.0,BV,27507.74884227133,24456.43568669911,0.6524700278391551,0.021964102615640694,0.032365784782196746,0.04115142582845303,0.03636710165559925,0.04115142582845303,0.03660517958017792,-8.881784197001252e-16,-46.874957757376364,8.881784197001252e-16,200.50403955497237,92.20161582198894,BV,572.8686844427782,0.0,241.0,regional,24456.43568669911,0.0,"{'B': -5660.0, 'BF': 22889.564446156863, 'BV': 24456.43568669911}"
elasticity,eta0.01,dual,878.0,30.0,0.35,0.4,-1.0,-1.0,50.0,15.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,2950.0939430104336,1.0,1.0,1.0,0.01,False,0,54.0,717.9110035849006,254.08899641509936,717.9110035849006,13.647819551249986,80.0,582.9906056989566,0.0,19.04122000983364,BV,27021.45068303417,24071.356740023737,0.6639984119578094,0.021888914811252495,0.0322569569468421,0.0410125228713431,0.036243297816222576,0.0410125228713431,0.036394140113378624,-1.4210854715202004e-14,-46.858919971113586,1.4210854715202004e-14,204.04671199463482,89.23517280178737,,,,,,24071.35684002373,1180.8050634920473,
elasticity,eta0.03,dual,878.0,30.0,0.35,0.4,-1.0,-1.0,50.0,15.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,2849.6114714087435,1.0,1.0,1.0,0.03,False,0,54.0,725.198999359839,246.80100064016096,725.198999359839,14.293748778146725,77.9581284361782,593.0388528591257,0.0,8.092425844074981,BV,26521.901636144936,23672.290164736194,0.6754428848053823,0.02178756667606251,0.03210790692263111,0.04082293359305611,0.03607559343363215,0.04082293359305611,0.03613950209977178,-1.7763568394002505e-15,-45.04583929752652,1.7763568394002505e-15,207.56359850069396,86.26240973790757,,,,,,23672.290264736195,779.685565369593,
heterogeneity,dE0,dual,878.0,30.0,0.35,0.4,-1.0,0.0,50.0,15.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,2969.8705841137576,1.0,1.0,1.0,0.0,False,0,54.0,707.8041744932059,264.1958255067941,707.8041744932059,13.62648124804624,80.0,581.0129415886242,0.0,30.0,BV,27693.92699139119,24724.056407277432,0.6617459471396632,0.022002480475867017,0.03242405901477206,0.03242405901477206,0.03643124839765862,0.041225051205118865,0.03623450022212237,-7.105427357601002e-15,-46.88354553901905,7.105427357601002e-15,203.35452955601846,93.34181182240738,,,,,,24724.056507277433,1744.992542456148,
heterogeneity,dE0.1,dual,878.0,30.0,0.35,0.4,-1.0,0.1,50.0,15.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,2990.254138767408,1.0,1.0,1.0,0.0,False,0,54.0,708.502573996637,263.497426003363,708.502573996637,13.628494615796582,80.0,578.9745861232592,0.0,30.0,BV,27647.40320911548,24657.149070348074,0.6594243577713659,0.02199177490124954,0.03240827072449611,0.03460744821462106,0.03641351814099811,0.04120498068499593,0.03632454546623309,-8.881784197001252e-15,-46.88121884360996,8.881784197001252e-15,202.64110514314072,93.05644205725628,,,,,,24657.14917034808,1700.5320768566853,
heterogeneity,dE0.4,dual,878.0,30.0,0.35,0.4,-1.0,0.4,50.0,15.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,3051.313155572218,1.0,1.0,1.0,0.0,False,0,54.0,710.5991350867232,261.4008649132768,710.5991350867232,13.633785291966518,80.0,572.8686844427782,0.0,30.0,BV,27507.74884227133,24456.43568669911,0.6524700278391551,0.021964102615640694,0.032365784782196746,0.04115142582845303,0.03636710165559925,0.04115142582845303,0.03660517958017792,-8.881784197001252e-16,-46.874957757376364,8.881784197001252e-16,200.50403955497237,92.20161582198894,BV,572.8686844427782,0.0,241.0,regional,24456.43568669911,0.0,"{'B': -5660.0, 'BF': 22889.564446156863, 'BV': 24456.43568669911}"
heterogeneity,dE0.7,dual,878.0,30.0,0.35,0.4,-1.0,0.7,50.0,15.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,3112.5579293931787,1.0,1.0,1.0,0.0,False,0,54.0,712.6929601567764,259.3070398432236,712.6929601567764,13.640553546357019,80.0,566.7442070606821,0.0,30.0,BV,27368.29278416132,24255.73485476814,0.6454945410713919,0.021927629823203964,0.03231376158718249,0.04766310246342526,0.03630731455396639,0.04108481351646407,0.036878201767035095,-1.4210854715202004e-14,-46.867291181269,1.4210854715202004e-14,198.36047247123872,91.34418898849549,,,,,,24255.734954768148,1149.6160943383038,
map,d1_0.1_d2_0,dual,878.0,30.0,0.1,0.0,-1.0,-1.0,50.0,15.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,0.0,1.0,1.0,1.0,0.0,False,0,54.0,0.001,971.999,0.001,-0.0,42.374958983734125,0.0,878.0,30.0,F,38476.46275723058,38476.46275723058,1.0,1000.0,0.015625244144439752,0.015625244144439752,1000.0015625244145,0.015625244144439752,0.015625244144439752,-111955.0,-3.1086244689504383e-15,3.1086244689504383e-15,0.0,0.0,F,0.0,878.0,967.0,regional,38476.46275723058,0.0,"{'B': -6380.0, 'F': 38476.46275723058, 'BV': 38449.84206007746, 'VF': 38380.05790973952}"
map,d1_0.1_d2_0.15,dual,878.0,30.0,0.1,0.15,-1.0,-1.0,50.0,15.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,898.8013405545564,1.0,1.0,1.0,0.0,False,0,54.0,846.875390664909,125.12460933509101,846.875390664909,37.23263212371342,80.0,788.1198659445444,0.0,30.0,BV,38656.43946578818,37757.63812523362,0.8976308268161097,0.023566160152151266,0.06130222073418568,0.06483714475700837,0.0300498746278521,0.06483714475700837,0.03132550445584778,7.993605777301127e-15,-51.279579392456355,7.993605777301127e-15,78.81198659445444,16.321797989168164,BV,788.1198659445445,0.0,243.0,regional,37757.63812523362,0.0,"{'B': -6110.0, 'BF': 30799.916060768654, 'BV': 37757.63812523362}"
map,d1_0.1_d2_0.3,dual,878.0,30.0,0.1,0.3,-1.0,-1.0,50.0,15.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,1046.1259671740947,1.0,1.0,1.0,0.0,False,0,54.0,848.3449122474725,123.65508775252749,848.3449122474725,36.67208718512329,80.0,773.3874032825905,0.0,30.0,BV,38129.73020041376,37083.60423323967,0.880851256586094,0.023388592151640235,0.061288226708915934,0.068304804354408,0.030219072587081036,0.068304804354408,0.03164126560174785,6.217248937900877e-15,-57.08390493892997,6.217248937900877e-15,77.33874032825906,32.20162209847771,BV,773.3874032825906,0.0,242.0,regional,37083.60423323967,0.0,"{'B': -5840.0, 'BF': 25641.244237486888, 'BV': 37083.60423323967}"
