label,regime,demand,d2,k_v,k_f,p_on,p_off,objective,access,load_v,load_f,rho_v,rho_f,residual
L572_d0.1,dual,572.0,0.1,13,5,15.004746996854518,80.0,27344.124558068375,1.0,595.02,230.2,0.8476068376068375,0.8525925925925926,2.2434613278221605e-08
L572_d0.4,dual,572.0,0.4,13,5,11.940874074640218,80.0,26119.466282204245,0.99233702769113,659.083129016832,228.6658729437642,0.9388648561493333,0.84691064053246,2.6645352591003757e-15
L572_d0.7,dual,572.0,0.7,13,5,10.939880923106454,80.0,23363.59502273927,0.8959292271716848,659.0270398380436,209.3650312797713,0.9387849570342501,0.7754260417769308,3.552713678800501e-15
L878_d0.1,dual,878.0,0.1,2,16,25.602267267074513,36.362522343832715,30850.52666655004,0.8953735120906001,90.31478617413471,810.0891257779244,0.836248020130877,0.9376031548355607,3.552713678800501e-15
L878_d0.4,dual,878.0,0.4,13,5,11.940869262455212,80.0,23059.46628364466,0.6464884297470804,659.0831991024477,228.66589446127782,0.9388649559863927,0.8469107202269549,0.0
L878_d0.7,dual,878.0,0.7,13,5,10.939880923106454,80.0,20303.59502273927,0.5836805443533072,659.0270398380436,209.3650312797713,0.9387849570342501,0.7754260417769308,3.552713678800501e-15
A,fixed,572.0,0.0,1,17,60.0,40.0,24080.0,1.0,0.0,602.0,0.0,0.6557734204793029,0.0
A,online,572.0,0.0,13,5,29.779714994553515,40.0,26241.99697688461,1.0,572.0,230.2,0.8148148148148148,0.8525925925925926,1.812200807194131e-07
A,dual,572.0,0.0,12,6,16.000935033523312,80.0,27568.534839175336,1.0,572.0,230.2,0.8827160493827161,0.7104938271604938,2.2950002787069934e-08
B,fixed,878.0,0.1,2,16,60.0,40.0,38466.98354232883,0.9328625028947451,84.90532775415863,849.0532775415862,0.7861604421681355,0.9827005527101692,5.329070518200751e-15
B,online,878.0,0.1,2,16,60.0,40.0,38466.98354232883,0.9328625028947451,84.90532775415863,849.0532775415862,0.7861604421681355,0.9827005527101692,5.329070518200751e-15
B,dual,878.0,0.1,2,16,25.602187221554015,50.934094617157285,43055.04221558277,0.9024439883760035,90.31501149512235,816.7284110398948,0.836250106436318,0.945287512777656,5.329070518200751e-15
